!Gene list based on the Araport11 genome release
!Release date of annotation: June 2016 
!Annotated by: Araport at J. Craig Ventner Institute
name	gene_model_type
AT1G01010	protein_coding
AT1G01020	protein_coding
AT1G01030	protein_coding
AT1G01040	protein_coding
AT1G01046	miRNA_primary_transcript
AT1G01050	protein_coding
AT1G01060	protein_coding
AT1G01070	protein_coding
AT1G01080	protein_coding
AT1G01090	protein_coding
AT1G01100	protein_coding
AT1G01110	protein_coding
AT1G01120	protein_coding
AT1G01130	protein_coding
AT1G01140	protein_coding
AT1G01150	protein_coding
AT1G01160	protein_coding
AT1G01170	protein_coding
AT1G01180	protein_coding
AT1G01183	miRNA_primary_transcript
AT1G01184	protein_coding
AT1G01190	protein_coding
AT1G01200	protein_coding
AT1G01210	protein_coding
AT1G01220	protein_coding
AT1G01225	protein_coding
AT1G01230	protein_coding
AT1G01240	protein_coding
AT1G01250	protein_coding
AT1G01260	protein_coding
AT1G01270	pre_trna
AT1G01280	protein_coding
AT1G01290	protein_coding
AT1G01300	protein_coding
AT1G01305	protein_coding
AT1G01310	protein_coding
AT1G01320	protein_coding
AT1G01335	protein_coding
AT1G01340	protein_coding
AT1G01350	protein_coding
AT1G01355	protein_coding
AT1G01360	protein_coding
AT1G01370	protein_coding
AT1G01380	protein_coding
AT1G01390	protein_coding
AT1G01400	protein_coding
AT1G01410	protein_coding
AT1G01420	protein_coding
AT1G01430	protein_coding
AT1G01440	protein_coding
AT1G01448	antisense_long_noncoding_rna
AT1G01450	protein_coding
AT1G01453	protein_coding
AT1G01460	protein_coding
AT1G01470	protein_coding
AT1G01480	protein_coding
AT1G01490	protein_coding
AT1G01500	protein_coding
AT1G01510	protein_coding
AT1G01520	protein_coding
AT1G01530	protein_coding
AT1G01540	protein_coding
AT1G01550	protein_coding
AT1G01560	protein_coding
AT1G01570	protein_coding
AT1G01580	protein_coding
AT1G01590	protein_coding
AT1G01600	protein_coding
AT1G01610	protein_coding
AT1G01620	protein_coding
AT1G01630	protein_coding
AT1G01640	protein_coding
AT1G01650	protein_coding
AT1G01660	protein_coding
AT1G01670	protein_coding
AT1G01680	protein_coding
AT1G01690	protein_coding
AT1G01695	protein_coding
AT1G01700	protein_coding
AT1G01710	protein_coding
AT1G01715	protein_coding
AT1G01720	protein_coding
AT1G01725	protein_coding
AT1G01730	protein_coding
AT1G01740	protein_coding
AT1G01750	protein_coding
AT1G01760	protein_coding
AT1G01770	protein_coding
AT1G01780	protein_coding
AT1G01790	protein_coding
AT1G01800	protein_coding
AT1G01810	protein_coding
AT1G01820	protein_coding
AT1G01830	protein_coding
AT1G01840	protein_coding
AT1G01860	protein_coding
AT1G01870	pre_trna
AT1G01880	protein_coding
AT1G01890	pre_trna
AT1G01900	protein_coding
AT1G01910	protein_coding
AT1G01920	protein_coding
AT1G01930	protein_coding
AT1G01940	protein_coding
AT1G01950	protein_coding
AT1G01960	protein_coding
AT1G01970	protein_coding
AT1G01980	protein_coding
AT1G01990	protein_coding
AT1G02000	protein_coding
AT1G02010	protein_coding
AT1G02020	protein_coding
AT1G02030	protein_coding
AT1G02040	protein_coding
AT1G02050	protein_coding
AT1G02060	protein_coding
AT1G02065	protein_coding
AT1G02067	protein_coding
AT1G02070	protein_coding
AT1G02080	protein_coding
AT1G02090	protein_coding
AT1G02100	protein_coding
AT1G02110	protein_coding
AT1G02120	protein_coding
AT1G02130	protein_coding
AT1G02136	pseudogene
AT1G02140	protein_coding
AT1G02145	protein_coding
AT1G02150	protein_coding
AT1G02160	protein_coding
AT1G02170	protein_coding
AT1G02180	protein_coding
AT1G02190	protein_coding
AT1G02205	protein_coding
AT1G02210	protein_coding
AT1G02220	protein_coding
AT1G02228	transposable_element_gene
AT1G02230	protein_coding
AT1G02250	protein_coding
AT1G02260	protein_coding
AT1G02270	protein_coding
AT1G02280	protein_coding
AT1G02290	protein_coding
AT1G02300	protein_coding
AT1G02305	protein_coding
AT1G02310	protein_coding
AT1G02320	protein_coding
AT1G02330	protein_coding
AT1G02335	protein_coding
AT1G02340	protein_coding
AT1G02350	protein_coding
AT1G02360	protein_coding
AT1G02370	protein_coding
AT1G02380	protein_coding
AT1G02390	protein_coding
AT1G02400	protein_coding
AT1G02405	protein_coding
AT1G02410	protein_coding
AT1G02420	protein_coding
AT1G02430	protein_coding
AT1G02440	protein_coding
AT1G02450	protein_coding
AT1G02460	protein_coding
AT1G02470	protein_coding
AT1G02475	protein_coding
AT1G02480	pre_trna
AT1G02490	protein_coding
AT1G02500	protein_coding
AT1G02510	protein_coding
AT1G02520	protein_coding
AT1G02530	protein_coding
AT1G02540	protein_coding
AT1G02550	protein_coding
AT1G02560	protein_coding
AT1G02570	protein_coding
AT1G02575	protein_coding
AT1G02580	protein_coding
AT1G02590	protein_coding
AT1G02600	pre_trna
AT1G02610	protein_coding
AT1G02620	protein_coding
AT1G02630	protein_coding
AT1G02640	protein_coding
AT1G02650	protein_coding
AT1G02660	protein_coding
AT1G02670	protein_coding
AT1G02680	protein_coding
AT1G02681	pseudogene
AT1G02690	protein_coding
AT1G02700	protein_coding
AT1G02705	protein_coding
AT1G02710	protein_coding
AT1G02720	protein_coding
AT1G02730	protein_coding
AT1G02740	protein_coding
AT1G02750	protein_coding
AT1G02760	pre_trna
AT1G02770	protein_coding
AT1G02780	protein_coding
AT1G02790	protein_coding
AT1G02800	protein_coding
AT1G02810	protein_coding
AT1G02813	protein_coding
AT1G02816	protein_coding
AT1G02820	protein_coding
AT1G02830	protein_coding
AT1G02840	protein_coding
AT1G02850	protein_coding
AT1G02860	protein_coding
AT1G02870	protein_coding
AT1G02880	protein_coding
AT1G02890	protein_coding
AT1G02900	protein_coding
AT1G02910	protein_coding
AT1G02920	protein_coding
AT1G02930	protein_coding
AT1G02940	protein_coding
AT1G02950	protein_coding
AT1G02952	antisense_long_noncoding_rna
AT1G02960	protein_coding
AT1G02965	protein_coding
AT1G02970	protein_coding
AT1G02980	protein_coding
AT1G02990	protein_coding
AT1G03000	protein_coding
AT1G03010	protein_coding
AT1G03020	protein_coding
AT1G03030	protein_coding
AT1G03040	protein_coding
AT1G03050	protein_coding
AT1G03055	protein_coding
AT1G03060	protein_coding
AT1G03070	protein_coding
AT1G03080	protein_coding
AT1G03090	protein_coding
AT1G03100	protein_coding
AT1G03103	protein_coding
AT1G03106	protein_coding
AT1G03110	protein_coding
AT1G03120	protein_coding
AT1G03130	protein_coding
AT1G03140	protein_coding
AT1G03150	protein_coding
AT1G03160	protein_coding
AT1G03165	protein_coding
AT1G03170	protein_coding
AT1G03180	protein_coding
AT1G03190	protein_coding
AT1G03200	protein_coding
AT1G03210	protein_coding
AT1G03220	protein_coding
AT1G03230	protein_coding
AT1G03240	protein_coding
AT1G03250	protein_coding
AT1G03260	protein_coding
AT1G03270	protein_coding
AT1G03280	protein_coding
AT1G03290	protein_coding
AT1G03300	protein_coding
AT1G03310	protein_coding
AT1G03320	protein_coding
AT1G03325	protein_coding
AT1G03330	protein_coding
AT1G03340	protein_coding
